level_0,index,Area_Type,State Name,District Name,Water_Body_Type,Water_body_in_use,Reason_for_Water_Body_Use,Water_Body_Nature,construcion_year,construction_cost,Renovation_Year,renovation_cost,Repair_Renovation_Status,Original_Storage_Capacity,Present_Storage_Capacity,filled_up_storage_name,filled_up_storage_space_name,no_people_benefited_by_water_body,reason_water_body_in_use_name2,storage_capacity_change,population_density_benefited
687,687,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2015.0,86000.0,,,0,450,450,Nil/Negligible filled up,Rarely filled up,2.0,,0,1.1251010766788274
688,688,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2017.0,107000.0,,,0,648,648,Upto 1/4,Rarely filled up,1.0,,0,1.1251010766788274
689,689,Urban,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,8775,4001,Upto 3/4,Usually filled up,10.0,,-4774,1.1251010766788274
690,690,Urban,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,12650,9487,Full,Filled up every year,10.0,,-3163,1.1251010766788274
691,691,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,6180,2060,Full,Filled up every year,10.0,,-4120,1.1251010766788274
692,692,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,9108,7185,Full,Filled up every year,10.0,,-1923,1.1251010766788274
693,693,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,3150,2104,Nil/Negligible filled up,Never filled up,4.0,,-1046,1.1251010766788274
694,694,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2013.0,119000.0,,,0,2925,1950,Upto 1/4,Rarely filled up,3.0,,-975,1.1251010766788274
695,695,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2015.0,160000.0,,,0,3685,3685,Nil/Negligible filled up,Rarely filled up,3.0,,0,1.1251010766788274
696,696,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1660,150,Nil/Negligible filled up,Never filled up,1.0,,-1510,1.1251010766788274
697,697,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,52800,33000,Upto 3/4,Usually filled up,530.0,,-19800,1.1251010766788274
698,698,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,9750,7800,Full,Usually filled up,250.0,,-1950,1.1251010766788274
699,699,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1750,980,Full,Filled up every year,2.0,,-770,1.1251010766788274
700,700,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2014.0,80000.0,,,0,11125,750,Upto 1/2,Rarely filled up,3.0,,-10375,1.1251010766788274
701,701,Rural,UTTARAKHAND,PITHORGARH,Tank,1,Pisciculture,Man-made,2014.0,200000.0,,,0,25,20,Full,Filled up every year,4.0,Irrigation,-5,1.1251010766788274
702,702,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,17250,15730,Full,Filled up every year,25.0,,-1520,1.1251010766788274
703,703,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,2380,2000,Full,Filled up every year,4.0,,-380,1.1251010766788274
704,704,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,87058,64845,Upto 1/2,Usually filled up,25.0,,-22213,1.1251010766788274
705,705,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,15750,12600,Upto 3/4,Usually filled up,25.0,,-3150,1.1251010766788274
706,706,Rural,UTTARAKHAND,HARIDWAR,Ponds,0,other,Natural,,,,,0,13650,10920,Nil/Negligible filled up,Never filled up,1.0,,-2730,1.1251010766788274
707,707,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,48600,38880,Upto 3/4,Usually filled up,25.0,,-9720,1.1251010766788274
708,708,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,89250,71400,Full,Filled up every year,2.0,,-17850,1.1251010766788274
709,709,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,6525,5220,Full,Filled up every year,55.0,,-1305,1.1251010766788274
710,710,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,7875,6300,Nil/Negligible filled up,Never filled up,8.0,,-1575,1.1251010766788274
711,711,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,2800,1750,Full,Filled up every year,8.0,,-1050,1.1251010766788274
712,712,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,4000,1000,Full,Filled up every year,2.0,,-3000,1.1251010766788274
713,713,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,4000,3150,Full,Filled up every year,10.0,,-850,1.1251010766788274
714,714,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,17400,14500,Full,Filled up every year,10.0,,-2900,1.1251010766788274
715,715,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,4800,3950,Full,Filled up every year,17.0,,-850,1.1251010766788274
716,716,Rural,UTTARAKHAND,DEHRADUN,Ponds,1,Pisciculture,Man-made,2018.0,27000.0,,,0,1500,1500,Full,Filled up every year,1.0,,0,1.1251010766788274
717,717,Rural,UTTARAKHAND,DEHRADUN,Ponds,1,Pisciculture,Man-made,2016.0,25000.0,,,0,1000,900,Full,Filled up every year,1.0,,-100,1.1251010766788274
718,718,Rural,UTTARAKHAND,CHAMPAWAT,Ponds,1,Pisciculture,Man-made,2016.0,400000.0,,,0,300,300,Full,Usually filled up,1.0,Other,0,1.1251010766788274
719,719,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,2400,150,Full,Filled up every year,3.0,,-2250,1.1251010766788274
720,720,Rural,UTTARAKHAND,HARIDWAR,Ponds,0,other,Natural,,,,,0,2501,1270,Nil/Negligible filled up,Never filled up,4.0,,-1231,1.1251010766788274
721,721,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,6891,5513,Upto 3/4,Usually filled up,55.0,,-1378,1.1251010766788274
722,722,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,10500,8300,Full,Filled up every year,25.0,,-2200,1.1251010766788274
723,723,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,5850,4500,Full,Filled up every year,15.0,,-1350,1.1251010766788274
724,724,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,6300,5500,Full,Filled up every year,15.0,,-800,1.1251010766788274
725,725,Rural,UTTARAKHAND,NANITAL,Tank,1,Irrigation,Man-made,2017.0,80000.0,,,0,28,28,Full,Filled up every year,4.0,Pisciculture,0,1.1251010766788274
726,726,Rural,UTTARAKHAND,PAURI,Tank,1,Pisciculture,Man-made,2018.0,100000.0,,,0,60,48,Upto 3/4,Usually filled up,1.0,,-12,1.1251010766788274
727,727,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,5384,2692,Upto 1/2,Usually filled up,2.0,,-2692,1.1251010766788274
728,728,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,6250,3125,Full,Filled up every year,25.0,,-3125,1.1251010766788274
729,729,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,900,4500,Full,Filled up every year,25.0,,3600,1.1251010766788274
