level_0,index,Area_Type,State Name,District Name,Water_Body_Type,Water_body_in_use,Reason_for_Water_Body_Use,Water_Body_Nature,construcion_year,construction_cost,Renovation_Year,renovation_cost,Repair_Renovation_Status,Original_Storage_Capacity,Present_Storage_Capacity,filled_up_storage_name,filled_up_storage_space_name,no_people_benefited_by_water_body,reason_water_body_in_use_name2,storage_capacity_change,population_density_benefited
2717,2717,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,420,840,Upto 1/2,Usually filled up,1.0,,420,1.1251010766788274
2718,2718,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Natural,,,,,0,1432,716,Upto 1/2,Usually filled up,14.0,Ground water recharge,-716,1.1251010766788274
2719,2719,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,3340,1670,Upto 1/2,Usually filled up,4.0,,-1670,1.1251010766788274
2720,2720,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,895,597,Upto 1/2,Usually filled up,4.0,,-298,1.1251010766788274
2721,2721,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2017.0,450000.0,2017.0,30000.0,0,60,50,Upto 3/4,Usually filled up,9.0,,-10,0.001666667
2722,2722,Rural,UTTARAKHAND,DEHRADUN,Ponds,1,Pisciculture,Natural,,,2017.0,90000.0,0,40,30,Upto 1/2,Filled up every year,25.0,Ground water recharge,-10,0.000333333
2723,2723,Urban,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,3600,200,Full,Filled up every year,60.0,,-3400,1.1251010766788274
2724,2724,Urban,UTTARAKHAND,PAURI,Ponds,1,Recreation,Natural,,,,,0,42,30,Upto 1/2,Usually filled up,10.0,Ground water recharge,-12,1.1251010766788274
2725,2725,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1872,1580,Upto 3/4,Rarely filled up,10.0,,-292,1.1251010766788274
2726,2726,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,954,477,Upto 1/2,Usually filled up,3.0,,-477,1.1251010766788274
2727,2727,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,1142,571,Upto 1/2,Usually filled up,2.0,,-571,1.1251010766788274
2728,2728,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,597,597,Upto 1/2,Usually filled up,4.0,,0,1.1251010766788274
2729,2729,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Natural,,,,,0,1614,807,Upto 1/2,Usually filled up,22.0,,-807,1.1251010766788274
2730,2730,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,11896,3966,Upto 1/2,Usually filled up,3.0,,-7930,1.1251010766788274
2731,2731,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,22368,7456,Upto 1/2,Usually filled up,2.0,,-14912,1.1251010766788274
2732,2732,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,8910,7510,Full,Filled up every year,10.0,,-1400,1.1251010766788274
2733,2733,Rural,UTTARAKHAND,ALMORA,Tank,1,Irrigation,Man-made,2017.0,220000.0,,,0,50,45,Upto 3/4,Usually filled up,4.0,Domestic/Drinking,-5,1.1251010766788274
2734,2734,Rural,UTTARAKHAND,ALMORA,Tank,0,other,Man-made,2013.0,100000.0,2017.0,30000.0,0,50,40,Upto 3/4,Usually filled up,4.0,,-10,0.001333333
2735,2735,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,1200,600,Upto 3/4,Filled up every year,3.0,,-600,1.1251010766788274
2736,2736,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Man-made,2005.0,40000.0,2012.0,5000.0,0,1215,600,Upto 1/2,Usually filled up,7.0,Ground water recharge,-615,0.12
2737,2737,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Man-made,2005.0,30000.0,2015.0,5000.0,0,648,300,Upto 1/2,Usually filled up,7.0,Ground water recharge,-348,0.06
2738,2738,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Man-made,2002.0,70000.0,2012.0,10000.0,0,23184,11500,Upto 1/2,Usually filled up,7.0,Ground water recharge,-11684,1.15
2739,2739,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Man-made,2002.0,40000.0,2012.0,5000.0,0,2880,1500,Upto 1/2,Usually filled up,11.0,Ground water recharge,-1380,0.3
2740,2740,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Man-made,2002.0,50000.0,2012.0,8000.0,0,6336,3200,Upto 3/4,Usually filled up,7.0,Ground water recharge,-3136,0.4
2741,2741,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Man-made,2000.0,40000.0,2012.0,10000.0,0,3375,1600,Upto 3/4,Usually filled up,8.0,Ground water recharge,-1775,0.16
2742,2742,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,7800,5850,Full,Filled up every year,10.0,,-1950,1.1251010766788274
2743,2743,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Other,Natural,,,,,0,1250,937,Full,Filled up every year,2.0,Pisciculture,-313,1.1251010766788274
2744,2744,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,2825,2260,Full,Filled up every year,10.0,,-565,1.1251010766788274
2745,2745,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,200,90,Nil/Negligible filled up,Never filled up,1.0,,-110,1.1251010766788274
2746,2746,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,784,594,Full,Filled up every year,10.0,,-190,1.1251010766788274
2747,2747,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,8775,3510,Full,Filled up every year,10.0,,-5265,1.1251010766788274
2748,2748,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,2093,1750,Full,Filled up every year,10.0,,-343,1.1251010766788274
2749,2749,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,3000,1800,Full,Filled up every year,10.0,,-1200,1.1251010766788274
2750,2750,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,25200,12600,Full,Filled up every year,11.0,,-12600,1.1251010766788274
2751,2751,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,4300,2150,Full,Filled up every year,11.0,,-2150,1.1251010766788274
2752,2752,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,4897,2628,Full,Filled up every year,10.0,,-2269,1.1251010766788274
2753,2753,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,2700,1800,Full,Filled up every year,11.0,,-900,1.1251010766788274
2754,2754,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2017.0,80000.0,,,0,1250,750,Upto 1/4,Rarely filled up,1.0,,-500,1.1251010766788274
2755,2755,Rural,UTTARAKHAND,TEHRI,Lakes,1,Recreation,Man-made,2016.0,4800000.0,,,0,16280,14652,Upto 1/2,Usually filled up,20.0,Ground water recharge,-1628,1.1251010766788274
2756,2756,Urban,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,13500,12000,Nil/Negligible filled up,Rarely filled up,1.0,,-1500,1.1251010766788274
2757,2757,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Reservoirs,1,Irrigation,Man-made,1970.0,73800000.0,2018.0,12000000.0,0,5336753400,2668376700,Upto 1/2,Filled up every year,80000.0,Pisciculture,-2668376700,222.364725
2758,2758,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,75,50,Nil/Negligible filled up,Rarely filled up,3.0,,-25,1.1251010766788274
2759,2759,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,38,25,Nil/Negligible filled up,Rarely filled up,4.0,,-13,1.1251010766788274
2760,2760,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,1706,853,Upto 1/2,Usually filled up,3.0,,-853,1.1251010766788274
2761,2761,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,1209,806,Upto 1/2,Usually filled up,2.0,,-403,1.1251010766788274
2762,2762,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,114,57,Nil/Negligible filled up,Rarely filled up,4.0,,-57,1.1251010766788274
2763,2763,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,2102,1051,Upto 1/2,Usually filled up,2.0,,-1051,1.1251010766788274
2764,2764,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,1213,809,Upto 1/2,Usually filled up,2.0,,-404,1.1251010766788274
2765,2765,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,6513,3256,Upto 1/2,Usually filled up,1.0,,-3257,1.1251010766788274
2766,2766,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2013.0,60000.0,,,0,151,151,Nil/Negligible filled up,Rarely filled up,1.0,,0,1.1251010766788274
2767,2767,Urban,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,1310,655,Upto 1/2,Usually filled up,3.0,,-655,1.1251010766788274
2768,2768,Urban,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,3060,1530,Upto 1/2,Usually filled up,2.0,,-1530,1.1251010766788274
2769,2769,Urban,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Natural,,,,,0,2166,1444,Upto 1/2,Usually filled up,15.0,Ground water recharge,-722,1.1251010766788274
2770,2770,Urban,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,5702,2851,Upto 1/2,Usually filled up,3.0,,-2851,1.1251010766788274
2771,2771,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Pisciculture,Natural,,,,,0,2044,1022,Upto 1/2,Usually filled up,20.0,Ground water recharge,-1022,1.1251010766788274
2772,2772,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,414,414,Nil/Negligible filled up,Rarely filled up,2.0,,0,1.1251010766788274
2773,2773,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Ground water recharge,Man-made,2018.0,352000.0,,,0,600,450,Upto 3/4,Usually filled up,11.0,Other,-150,1.1251010766788274
2774,2774,Urban,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,11772,7848,Upto 3/4,Usually filled up,3.0,,-3924,1.1251010766788274
2775,2775,Urban,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,4921,4921,Full,Usually filled up,3.0,,0,1.1251010766788274
2776,2776,Urban,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,5336,2968,Upto 1/2,Usually filled up,1.0,,-2368,1.1251010766788274
2777,2777,Urban,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,5953,5953,Upto 1/2,Rarely filled up,3.0,,0,1.1251010766788274
2778,2778,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Religious,Man-made,2014.0,80000.0,,,0,3360,2830,Upto 3/4,Usually filled up,4.0,Pisciculture,-530,1.1251010766788274
2779,2779,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Pisciculture,Man-made,2015.0,90000.0,,,0,2856,2630,Upto 3/4,Usually filled up,4.0,Religious,-226,1.1251010766788274
2780,2780,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2016.0,63000.0,,,0,1964,1964,Upto 1/4,Rarely filled up,3.0,,0,1.1251010766788274
2781,2781,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2016.0,82000.0,,,0,2082,894,Nil/Negligible filled up,Rarely filled up,4.0,,-1188,1.1251010766788274
2782,2782,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Man-made,2017.0,240000.0,,,0,180000,135000,Upto 3/4,Filled up every year,5.0,Religious,-45000,1.1251010766788274
2783,2783,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Man-made,2001.0,50000.0,2011.0,5000.0,0,6448,3224,Upto 1/2,Filled up every year,7.0,Ground water recharge,-3224,0.6448
2784,2784,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Man-made,1996.0,40000.0,2012.0,8000.0,0,48960,8160,Upto 1/4,Rarely filled up,18.0,Ground water recharge,-40800,1.02
2785,2785,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,24090,19500,Full,Filled up every year,10.0,,-4590,1.1251010766788274
2786,2786,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,3142,2510,Full,Filled up every year,10.0,,-632,1.1251010766788274
2787,2787,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1875,375,Full,Filled up every year,10.0,,-1500,1.1251010766788274
2788,2788,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,1690,845,Upto 1/2,Usually filled up,2.0,,-845,1.1251010766788274
2789,2789,Rural,UTTARAKHAND,PITHORGARH,Ponds,1,Pisciculture,Man-made,2017.0,100000.0,,,0,100,90,Full,Filled up every year,4.0,Recreation,-10,1.1251010766788274
2790,2790,Rural,UTTARAKHAND,PITHORGARH,Ponds,1,Pisciculture,Man-made,2015.0,100000.0,,,0,100,60,Full,Filled up every year,3.0,Recreation,-40,1.1251010766788274
2791,2791,Rural,UTTARAKHAND,PITHORGARH,Ponds,1,Pisciculture,Man-made,2017.0,80000.0,,,0,100,50,Full,Filled up every year,4.0,Ground water recharge,-50,1.1251010766788274
2792,2792,Rural,UTTARAKHAND,RUDARPRAYAG,Tank,1,Pisciculture,Man-made,2018.0,350000.0,,,0,100,80,Upto 3/4,Usually filled up,10.0,Recreation,-20,1.1251010766788274
2793,2793,Rural,UTTARAKHAND,PITHORGARH,Reservoirs,1,Domestic/Drinking,Man-made,2014.0,0.0,,,0,10000,8000,Full,Filled up every year,5000.0,Recreation,-2000,1.1251010766788274
2794,2794,Rural,UTTARAKHAND,PITHORGARH,Ponds,0,other,Man-made,2010.0,42000.0,,,0,100,1,Nil/Negligible filled up,Usually filled up,4.0,,-99,1.1251010766788274
2795,2795,Rural,UTTARAKHAND,DEHRADUN,Ponds,1,Recreation,Man-made,1995.0,15000.0,,,0,600,600,Full,Filled up every year,1500.0,,0,1.1251010766788274
2796,2796,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,4862,2431,Upto 1/2,Usually filled up,1.0,,-2431,1.1251010766788274
2797,2797,Rural,UTTARAKHAND,DEHRADUN,Ponds,1,Recreation,Man-made,2000.0,100000.0,,,1,900,900,Full,Filled up every year,1000.0,,0,1.1251010766788274
2798,2798,Urban,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,18060,13545,Full,Filled up every year,100.0,,-4515,1.1251010766788274
2799,2799,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2018.0,80000.0,,,0,4904,4704,Upto 1/2,Rarely filled up,4.0,,-200,1.1251010766788274
2800,2800,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2019.0,80000.0,,,0,3970,2970,Upto 1/4,Rarely filled up,4.0,,-1000,1.1251010766788274
2801,2801,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2019.0,90000.0,,,0,1250,250,Nil/Negligible filled up,Rarely filled up,3.0,,-1000,1.1251010766788274
2802,2802,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2018.0,80000.0,,,0,1720,700,Nil/Negligible filled up,Rarely filled up,3.0,,-1020,1.1251010766788274
2803,2803,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2020.0,90000.0,,,0,388,250,Upto 1/2,Rarely filled up,3.0,,-138,1.1251010766788274
2804,2804,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2017.0,80000.0,,,0,1692,1060,Upto 1/2,Rarely filled up,1.0,,-632,1.1251010766788274
2805,2805,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2017.0,80000.0,,,0,960,460,Full,Usually filled up,3.0,,-500,1.1251010766788274
2806,2806,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2017.0,80000.0,,,0,8278,5250,Upto 1/4,Rarely filled up,1.0,,-3028,1.1251010766788274
2807,2807,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2018.0,50000.0,,,0,1798,790,Upto 1/4,Rarely filled up,2.0,,-1008,1.1251010766788274
2808,2808,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2017.0,80000.0,,,0,5760,5260,Upto 1/2,Rarely filled up,4.0,,-500,1.1251010766788274
2809,2809,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2019.0,90000.0,,,0,2912,2400,Upto 1/2,Rarely filled up,2.0,,-512,1.1251010766788274
2810,2810,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1260,504,Full,Filled up every year,5.0,,-756,1.1251010766788274
2811,2811,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1800,500,Nil/Negligible filled up,Never filled up,2.0,,-1300,1.1251010766788274
2812,2812,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Natural,,,,,0,1200,1000,Upto 3/4,Filled up every year,50.0,Ground water recharge,-200,1.1251010766788274
2813,2813,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,3500,2500,Full,Filled up every year,11.0,,-1000,1.1251010766788274
2814,2814,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1820,1520,Full,Filled up every year,15.0,,-300,1.1251010766788274
2815,2815,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,2640,1980,Full,Filled up every year,12.0,,-660,1.1251010766788274
2816,2816,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,2100,315,Full,Filled up every year,12.0,,-1785,1.1251010766788274
2817,2817,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,138000,120750,Full,Filled up every year,25.0,,-17250,1.1251010766788274
2818,2818,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,6800,5100,Full,Filled up every year,12.0,,-1700,1.1251010766788274
2819,2819,Urban,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Ground water recharge,Man-made,2011.0,200000.0,2016.0,20000.0,0,6000,3200,Upto 1/2,Usually filled up,12.0,Other,-2800,0.16
2820,2820,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,7416,2472,Upto 1/2,Usually filled up,3.0,,-4944,1.1251010766788274
2821,2821,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,204,102,Nil/Negligible filled up,Rarely filled up,1.0,,-102,1.1251010766788274
2822,2822,Urban,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,3840,3500,Full,Filled up every year,20.0,,-340,1.1251010766788274
2823,2823,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,4200,1400,Upto 1/2,Usually filled up,3.0,,-2800,1.1251010766788274
2824,2824,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2020.0,90000.0,,,0,2430,2225,Nil/Negligible filled up,Rarely filled up,2.0,,-205,1.1251010766788274
2825,2825,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2017.0,70000.0,,,0,1690,1570,Upto 1/4,Rarely filled up,2.0,,-120,1.1251010766788274
2826,2826,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2019.0,80000.0,,,0,1732,1620,Full,Usually filled up,2.0,,-112,1.1251010766788274
2827,2827,Rural,UTTARAKHAND,UTTARKASHI,Tank,1,Irrigation,Man-made,2010.0,200000.0,,,0,180,180,Full,Filled up every year,80.0,,0,1.1251010766788274
2828,2828,Urban,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,2008.0,80000.0,0,400575,400500,Upto 1/2,Usually filled up,1.0,,-75,5.00625
2829,2829,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,18400,14720,Full,Filled up every year,14.0,,-3680,1.1251010766788274
2830,2830,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,14000,8400,Full,Filled up every year,16.0,,-5600,1.1251010766788274
2831,2831,Urban,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Man-made,2002.0,100000.0,,,0,2400,1200,Upto 1/2,Usually filled up,1.0,Ground water recharge,-1200,1.1251010766788274
2832,2832,Urban,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,4800,4000,Full,Filled up every year,25.0,,-800,1.1251010766788274
2833,2833,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1000,950,Full,Filled up every year,10.0,,-50,1.1251010766788274
2834,2834,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,3750,3105,Full,Filled up every year,14.0,,-645,1.1251010766788274
2835,2835,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,18000,11500,Full,Filled up every year,25.0,,-6500,1.1251010766788274
2836,2836,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,4500,3050,Full,Filled up every year,10.0,,-1450,1.1251010766788274
2837,2837,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,4180,1672,Upto 1/2,Rarely filled up,4.0,,-2508,1.1251010766788274
2838,2838,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,4360,1744,Upto 1/2,Rarely filled up,2.0,,-2616,1.1251010766788274
2839,2839,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2017.0,70000.0,,,0,480,320,Nil/Negligible filled up,Rarely filled up,3.0,,-160,1.1251010766788274
2840,2840,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2015.0,68000.0,,,0,540,405,Upto 1/2,Rarely filled up,2.0,,-135,1.1251010766788274
2841,2841,Rural,UTTARAKHAND,UTTARKASHI,Tank,1,Industrial,Man-made,2015.0,150000.0,,,0,40,40,Full,Usually filled up,10.0,,0,1.1251010766788274
2842,2842,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,13465,10550,Full,Filled up every year,20.0,,-2915,1.1251010766788274
2843,2843,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,9000,7500,Upto 3/4,Usually filled up,11.0,,-1500,1.1251010766788274
2844,2844,Rural,UTTARAKHAND,UTTARKASHI,Water consv schemes/percolation tanks/check-dams,1,Irrigation,Natural,,,,,0,0,0,,,300.0,Religious,0,1.1251010766788274
2845,2845,Rural,UTTARAKHAND,UTTARKASHI,Reservoirs,1,Recreation,Man-made,2005.0,450000.0,,,0,360,360,Upto 1/2,Usually filled up,15.0,,0,1.1251010766788274
2846,2846,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,12000,10750,Upto 3/4,Usually filled up,10.0,,-1250,1.1251010766788274
2847,2847,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,4500,3905,Full,Filled up every year,25.0,,-595,1.1251010766788274
2848,2848,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,19950,12600,Full,Filled up every year,15.0,,-7350,1.1251010766788274
2849,2849,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,3150,2900,Full,Filled up every year,12.0,,-250,1.1251010766788274
2850,2850,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,900,750,Full,Filled up every year,2.0,,-150,1.1251010766788274
2851,2851,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,4000,1940,Full,Filled up every year,20.0,,-2060,1.1251010766788274
2852,2852,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,7150,6570,Full,Filled up every year,25.0,,-580,1.1251010766788274
2853,2853,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,7250,6500,Full,Filled up every year,15.0,,-750,1.1251010766788274
2854,2854,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,5850,4510,Full,Filled up every year,16.0,,-1340,1.1251010766788274
2855,2855,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,2400,2190,Full,Filled up every year,15.0,,-210,1.1251010766788274
2856,2856,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,2800,1450,Full,Filled up every year,15.0,,-1350,1.1251010766788274
2857,2857,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,4800,2940,Full,Filled up every year,15.0,,-1860,1.1251010766788274
2858,2858,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,19950,17200,Full,Filled up every year,25.0,Pisciculture,-2750,1.1251010766788274
2859,2859,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,4950,3870,Full,Filled up every year,12.0,,-1080,1.1251010766788274
2860,2860,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,3500,2930,Full,Filled up every year,15.0,,-570,1.1251010766788274
2861,2861,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1350,1050,Nil/Negligible filled up,Never filled up,1.0,,-300,1.1251010766788274
